,"Example Payroll Calculation and Analysis for ""Corporate Payroll Services"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EMPLOYEE NAME,JOB TITLE,DEPARTMENT,HOURLY RATE,HOURS WORKED,GROSS PAY,OVERTIME PAY,FEDERAL TAX,STATE TAX,HEALTH INSURANCE,RETIREMENT CONTRIBUTION,TOTAL DEDUCTIONS,NET PAY,,,,,,,,,,,,,,,,,,,
,John Smith,Software Engineer,Information Technology (IT),$40.00 ,45,$1900.00,$300.00,$190.00,$95.00,$50.00,$57.00,$392.00,$1508.00,,,,,,,,,,,,,,,,,,,
,Sarah Brown,Data Analyst,Marketing,$35.00 ,40,$1400.00,$0.00,$140.00,$70.00,$50.00,$42.00,$302.00,$1098.00,,,,,,,,,,,,,,,,,,,
,Mike Johnson,Project Manager,Human Resources (HR),$50.00 ,42,$2150.00,$150.00,$215.00,$107.50,$50.00,$64.50,$437.00,$1713.00,,,,,,,,,,,,,,,,,,,
,Emily Clark,Data Analyst,Marketing,$32.00 ,38,$1216.00,$0.00,$121.60,$60.80,$50.00,$36.48,$268.88,$947.12,,,,,,,,,,,,,,,,,,,
,Alex Turner,Systems Analyst,Information Technology (IT),$38.00 ,46,$1862.00,$342.00,$186.20,$93.10,$50.00,$55.86,$385.16,$1476.84,,,,,,,,,,,,,,,,,,,
,Lisa Wong,Marketing Manager,Marketing,$48.00 ,37,$1776.00,$0.00,$177.60,$88.80,$50.00,$53.28,$369.68,$1406.32,,,,,,,,,,,,,,,,,,,
,Tim Blake,Human Resources (HR) Specialist,Human Resources (HR),$30.00 ,41,$1245.00,$45.00,$124.50,$62.25,$50.00,$37.35,$274.10,$970.90,,,,,,,,,,,,,,,,,,,
,Devan Kapoor,Systems Analyst,Information Technology (IT),$49.00 ,36,$1764.00,$0.00,$176.40,$88.20,$50.00,$52.92,$367.52,$1396.48,,,,,,,,,,,,,,,,,,,
,Allen Diewald,Marketing Manager,Marketing,$41.00 ,44,$1886.00,$246.00,$188.60,$94.30,$50.00,$56.58,$389.48,$1496.52,,,,,,,,,,,,,,,,,,,
,Maury Quijada,Software Engineer,Information Technology (IT),$59.00 ,45,$2802.50,$442.50,$280.25,$140.13,$50.00,$84.08,$554.46,$2248.04,,,,,,,,,,,,,,,,,,,
,Icram Doku,Financial Analyst,Finance,$29.00 ,35,$1015.00,$0.00,$101.50,$50.75,$50.00,$30.45,$232.70,$782.30,,,,,,,,,,,,,,,,,,,
,Alamdar Husain,Financial Analyst,Finance,$52.00 ,41,$2158.00,$78.00,$215.80,$107.90,$50.00,$64.74,$438.44,$1719.56,,,,,,,,,,,,,,,,,,,
,Jedan Davis,Financial Analyst,Finance,$39.00 ,35,$1365.00,$0.00,$136.50,$68.25,$50.00,$40.95,$295.70,$1069.30,,,,,,,,,,,,,,,,,,,
,Jordan McCrae,Data Analyst,Information Technology (IT),$49.00 ,45,$2327.50,$367.50,$232.75,$116.38,$50.00,$69.83,$468.96,$1858.54,,,,,,,,,,,,,,,,,,,
